store_Id,user_id,name,vicinity,Features
2033,1197,"Mehra Golshan, MD","Yale Cancer Center, 35 Park Street, New Haven","car_rental,point_of_interest,establishment"
367,1480,Pacifico,"220 College Street, New Haven","car_rental,point_of_interest,establishment"
1996,1290,BAR,"254 Crown Street, New Haven","car_rental,point_of_interest,establishment"
1780,1356,New Haven Green,"250 Temple Street, New Haven","car_rental,point_of_interest,establishment"
784,1322,Yale Center for British Art,"1080 Chapel Street, New Haven","car_rental,car_repair,car_dealer,point_of_interest,store,establishment"
1738,1338,Bank of America ATM,"120 High Street, New Haven","car_rental,point_of_interest,establishment"
242,1294,Claires Corner Copia,"1000 Chapel Street, New Haven","car_rental,point_of_interest,establishment"
1898,1298,"Michael Rigsby, MD","55 Lock Street, New Haven","car_rental,car_repair,point_of_interest,car_dealer,store,establishment"
598,1247,"Private Bank, Bank of America","157 Church Street, New Haven","car_rental,point_of_interest,establishment"
1751,1006,Michelle Brei,"55 Lock Street, New Haven","car_rental,point_of_interest,establishment"
2252,1289,Yale Health: Castrucci Hannah M MD,"55 Lock Street, New Haven","car_repair,store,point_of_interest,establishment"
167,1086,"Paragon Fence, LLC","370 James Street, New Haven","car_repair,point_of_interest,establishment"
1798,1271,New Haven Lawn Club,"193 Whitney Avenue, New Haven","car_repair,store,point_of_interest,establishment"
2147,1298,Withers Bergman LLP: Levine Richard S,"157 Church Street, New Haven","car_repair,point_of_interest,establishment"
409,1279,Dr. John P. Fulkerson,"Yale Orthopedics, 800 Howard Avenue, New Haven","car_repair,store,point_of_interest,establishment"
926,1239,Sallys Apizza,"237 Wooster Street, New Haven","car_repair,car_dealer,store,point_of_interest,establishment"
615,1429,Metro-North Commuter Railroad,"50 Union Avenue # 3, New Haven","car_repair,point_of_interest,establishment"
1740,1301,"Dr. Steven D. Vyce, DPM, FACFAS - Yale NH Foot & Ankle Surgeons","330 Orchard Street Suite 309, New Haven","car_repair,point_of_interest,store,establishment"
1845,1097,Union League Cafe,"1032 Chapel Street, New Haven","car_repair,car_dealer,point_of_interest,store,establishment"
1301,1417,New Haven,New Haven,"car_repair,point_of_interest,store,establishment"
1431,1389,Courtyard by Marriott New Haven at Yale,"30 Whalley Avenue, New Haven","car_repair,point_of_interest,store,establishment"
1315,1162,New Haven Hotel,"229 George Street, New Haven","car_repair,point_of_interest,establishment"
1657,1449,Yale University,New Haven,"cemetery,point_of_interest,establishment"
506,1255,Omni New Haven Hotel at Yale,"155 Temple Street, New Haven","cemetery,point_of_interest,establishment"
1473,1274,Louis Lunch,"261 Crown Street, New Haven","cemetery,point_of_interest,establishment"
1047,1138,Scroll and Key Tomb,"484 College Street, New Haven","church,place_of_worship,point_of_interest,establishment"
1587,1082,Toads Place,"300 York Street, New Haven","church,place_of_worship,point_of_interest,establishment"
1102,1385,Shubert Theater,"247 College Street, New Haven","church,place_of_worship,point_of_interest,establishment"
1248,1046,Yale New Haven Hospital,"20 York Street, New Haven","church,place_of_worship,point_of_interest,establishment"
